2023-07-26 23:07:802 INFO  HomePage :41 - Select top menu.Computersfrom optionsComputers
2023-07-26 23:07:769 INFO  ComputerPage :33 - Verify computers text.[[ChromeDriver: chrome on windows (6d402e936d0332401ab5c3ef3d869248)] -> xpath: //h1[contains(text(),'Computers')]]
2023-07-26 23:07:415 INFO  HomePage :41 - Select top menu.Computersfrom optionsComputers
2023-07-26 23:07:761 INFO  ComputerPage :39 - Select option from sublist.Desktopsfrom options
2023-07-26 23:07:517 INFO  DesktopsPage :35 - Verify desktops text.[[ChromeDriver: chrome on windows (103fc1a413df4c68b8c97aff7a1b4267)] -> xpath: //h1[contains(text(),'Desktops')]]
2023-07-26 23:07:844 INFO  HomePage :41 - Select top menu.Computersfrom optionsComputers
2023-07-26 23:07:582 INFO  ComputerPage :39 - Select option from sublist.Desktopsfrom options
2023-07-26 23:07:377 INFO  DesktopsPage :55 - Click on build your own computer.[[ChromeDriver: chrome on windows (291813f554f384120b27e7b0f952c332)] -> xpath: //a[contains(text(),'Build your own computer')]]
2023-07-26 23:07:270 INFO  BuildYourOwnComputerPage :56 - Select processor from drop down list.2.2 GHz Intel Pentium Dual-Core E2200from drop down[[ChromeDriver: chrome on windows (291813f554f384120b27e7b0f952c332)] -> id: product_attribute_1]
2023-07-26 23:07:688 INFO  BuildYourOwnComputerPage :61 - Select ram from drop down list.2 GBfrom drop down[[ChromeDriver: chrome on windows (291813f554f384120b27e7b0f952c332)] -> id: product_attribute_2]
2023-07-26 23:07:862 INFO  BuildYourOwnComputerPage :67 - Select HDD radio button.320 GB
2023-07-26 23:07:44 INFO  BuildYourOwnComputerPage :82 - Select OS radio button.Vista Home [+$50.00]
2023-07-26 23:07:285 INFO  BuildYourOwnComputerPage :111 - Click on add to cart button.[[ChromeDriver: chrome on windows (291813f554f384120b27e7b0f952c332)] -> id: add-to-cart-button-1]
